#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 07 04 50 209  7.4  8.4  1.23  6.67  4.51 999 1012.0  10.0   8.1 999.0 99.0 99.00
2012 01 07 05 50 207  6.6  7.5  1.33  6.25  4.87 999 1011.8   9.8   8.0 999.0 99.0 99.00
2012 01 07 06 50 207  5.6  6.6  1.38  6.25  4.93 999 1011.8   9.5   8.0 999.0 99.0 99.00
2012 01 07 07 50 206  6.9  8.0  1.48  6.67  4.95 999 1011.7   9.5   8.0 999.0 99.0 99.00
2012 01 07 08 50 204  6.6  7.4  1.26  5.56  4.70 999 1011.6   9.4   8.0 999.0 99.0 99.00
2012 01 07 09 50 203  6.3  7.0  1.32  6.25  4.80 999 1011.5   9.2   8.0 999.0 99.0 99.00
2012 01 07 10 50 204  6.4  7.7  1.25  6.25  4.71 999 1011.8   9.1   8.1 999.0 99.0 99.00
2012 01 07 11 50 212  5.1  6.1  1.26  5.88  4.90 999 1011.9   8.9   8.0 999.0 99.0 99.00
2012 01 07 12 50 216  6.0  7.0  1.18  6.25  4.83 999 1012.3   8.8   8.0 999.0 99.0 99.00
2012 01 07 13 50 221  5.9  7.0  1.13  5.26  4.77 999 1013.0   8.7   8.0 999.0 99.0 99.00
2012 01 07 14 50 224  6.2  7.3  1.14  5.88  4.92 999 1013.4   8.8   7.9 999.0 99.0 99.00
2012 01 07 15 50 210  5.6  6.6  1.16  6.25  4.95 999 1013.3   8.7   7.8 999.0 99.0 99.00
2012 01 07 16 50 209  5.5  6.2  1.10  5.88  4.81 999 1012.4   8.9   7.9 999.0 99.0 99.00
2012 01 07 17 50 202  7.2  8.6  1.14  7.14  4.82 999 1011.5   8.9   8.1 999.0 99.0 99.00
2012 01 07 18 50 208  6.2  7.2  1.23  5.88  4.70 999 1011.6   9.3   8.1 999.0 99.0 99.00
2012 01 07 19 50 197  5.1  5.7  1.19  5.56  4.62 999 1011.5   9.8   8.1 999.0 99.0 99.00
2012 01 07 20 50 203  6.1  6.8  1.24  6.25  4.81 999 1012.0   9.6   8.1 999.0 99.0 99.00
2012 01 07 21 50 211  7.3  8.6  1.24  6.25  4.63 999 1012.3   9.7   8.1 999.0 99.0 99.00
2012 01 07 22 50 212  5.9  6.8  1.20  6.25  4.67 999 1013.2   9.6   8.1 999.0 99.0 99.00
2012 01 07 23 50 213  5.1  5.7  1.25  5.88  4.92 999 1013.8   9.5   8.0 999.0 99.0 99.00
