YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 07 11 00 333  6.1  7.6  1.39  6.67  5.46 999 1019.6   7.0   8.4   4.1 99.0 99.00
2005 01 07 12 00 327  6.5  8.1  1.16  6.25  4.99 999 1021.3   7.0   8.4   2.8 99.0 99.00
2005 01 07 13 00 331  7.1  8.8  1.14  7.69  4.85 999 1022.5   6.8   8.3   1.7 99.0 99.00
2005 01 07 14 00 326  7.9  9.5  1.20  8.33  4.60 999 1024.5   6.7   8.2   0.7 99.0 99.00
2005 01 07 15 00 334  8.8 10.1  1.21  7.69  4.31 999 1025.5   6.4   8.2   0.1 99.0 99.00
2005 01 07 16 00 339  7.6  8.9  1.19  7.69  4.26 999 1026.0   6.1   8.1   0.0 99.0 99.00
2005 01 07 17 00 334  7.7  9.1  1.12  7.69  4.28 999 1025.5   5.8   8.2  -0.7 99.0 99.00
2005 01 07 18 00 337  7.7  9.4  1.19  7.14  4.32 999 1025.9   5.8   8.2  -0.8 99.0 99.00
2005 01 07 19 00 338  7.6  9.2  1.09  7.14  4.19 999 1026.1   5.9   8.2  -0.4 99.0 99.00
2005 01 07 20 00 344  7.0  8.4  1.11  4.17  4.31 999 1026.4   6.0   8.3  -1.3 99.0 99.00
2005 01 07 21 00 355  5.8  6.7  1.14  6.67  4.45 999 1026.8   6.3   8.3  -1.5 99.0 99.00
2005 01 07 22 00   1  3.4  4.0  1.01  6.67  4.61 999 1028.0   6.2   8.3  -0.8 99.0 99.00
2005 01 07 23 00  26  1.7  2.5  0.96  8.33  4.97 999 1028.3   6.3   8.4  -1.1 99.0 99.00
2005 01 08 00 00  81  2.6  3.4  0.88  7.14  4.89 999 1028.3   6.5   8.4  -0.1 99.0 99.00
2005 01 08 01 00 105  2.2  3.2  0.86  7.69  5.04 999 1028.5   6.6   8.4   0.6 99.0 99.00
2005 01 08 02 00 124  1.6  2.2  0.75  7.69  4.98 999 1028.9   6.7   8.4   0.8 99.0 99.00
2005 01 08 03 00 127  2.1  2.7  0.69  7.14  5.08 999 1028.7   7.0   8.3   1.1 99.0 99.00
2005 01 08 04 00 148  2.3  3.3  0.75  7.14  5.43 999 1028.9   7.1   8.3   1.0 99.0 99.00
2005 01 08 05 00 131  2.8  3.4  0.73  6.67  5.46 999 1028.1   7.2   8.3   0.9 99.0 99.00
2005 01 08 06 00 112  3.6  4.6  0.64  6.67  5.29 999 1027.1   7.3   8.3   1.8 99.0 99.00
2005 01 08 07 00 115  4.7  5.4  0.63  7.14  5.26 999 1026.5   7.4   8.4   1.9 99.0 99.00
2005 01 08 08 00 122  6.3  7.2  0.55  7.14  4.64 999 1025.5   7.6   8.4   2.7 99.0 99.00
2005 01 08 09 00 107  6.9  8.0  0.60  7.14  3.55 999 1024.1   7.7   8.5   3.2 99.0 99.00
2005 01 08 10 00 127  7.5  8.6  0.68  2.86  3.57 999 1023.1   8.1   8.5   4.2 99.0 99.00
2005 01 08 11 00 114  7.1  8.3  0.75  3.23  3.48 999 1022.3   7.4   8.5   6.0 99.0 99.00
2005 01 08 12 00 114  5.7  7.0  0.81  3.70  3.66 999 1022.3   8.1   8.5   7.2 99.0 99.00
2005 01 08 13 00  97  6.4  8.2  0.75  4.00  3.91 999 1021.2   8.9   8.5   7.5 99.0 99.00
2005 01 08 14 00 107  5.8  7.1  0.87  4.35  4.04 999 1020.2   9.5   8.5   8.3 99.0 99.00
2005 01 08 15 00 128  4.4  5.3  0.86  4.35  4.19 999 1019.6   9.8   8.5   8.9 99.0 99.00
2005 01 08 16 00 164  6.5  7.7  0.87  4.35  4.05 999 1018.2  10.3   8.5   9.7 99.0 99.00
2005 01 08 17 00 195  8.3 10.0  0.95  4.55  4.01 999 1016.4  10.6   8.5  10.1 99.0 99.00
2005 01 08 18 00 227  8.5 10.1  0.95  4.76  3.84 999 1016.0   9.7   8.5   9.1 99.0 99.00
2005 01 08 19 00 227  8.8 10.3  0.98  4.76  3.68 999 1015.9   9.0   8.5   8.4 99.0 99.00
2005 01 08 20 00 227  6.5  7.6  1.01  4.55  3.83 999 1016.4   9.2   8.5   8.5 99.0 99.00
2005 01 08 21 00 258  3.9  5.1  0.99  5.26  3.97 999 1018.3   8.9   8.5   8.2 99.0 99.00
2005 01 08 22 00 289  8.1  9.6  0.93  5.00  3.88 999 1019.6   9.4   8.5   8.4 99.0 99.00
2005 01 08 23 00 287  6.2  7.3  0.87  4.76  3.81 999 1021.1   8.8   8.5   7.5 99.0 99.00
2005 01 09 00 00 278  6.3  8.1  0.80  5.00  3.65 999 1022.4   8.8   8.6   6.5 99.0 99.00
2005 01 09 01 00 289  8.1  9.7  0.87  3.33  3.40 999 1023.5   9.2   8.5   5.2 99.0 99.00
2005 01 09 02 00 324  8.9 10.8  0.78  3.45  3.30 999 1024.5   8.5   8.5   4.9 99.0 99.00
2005 01 09 03 00 322 11.0 12.8  1.04  3.85  3.40 999 1025.4   7.8   8.4   3.0 99.0 99.00
2005 01 09 04 00 320  9.8 12.2  1.05  4.00  3.51 999 1026.3   7.4   8.4   2.9 99.0 99.00
2005 01 09 05 00 339 10.4 12.3  1.09  4.55  3.62 999 1026.1   6.9   8.4   2.9 99.0 99.00
2005 01 09 06 00 350 10.2 11.6  1.18  4.35  3.77 999 1026.4   6.5   8.4   1.1 99.0 99.00
2005 01 09 07 00 343  9.8 12.3  1.23  4.17  3.69 999 1026.9   6.2   8.4   0.8 99.0 99.00
2005 01 09 08 00 356 10.2 12.3  1.24  4.17  3.83 999 1027.2   5.6   8.4   0.4 99.0 99.00
2005 01 09 09 00   5  9.2 10.5  1.41  4.76  4.15 999 1027.1   5.3   8.4   0.5 99.0 99.00
2005 01 09 10 00   2  8.3 10.4  1.32  5.26  4.13 999 1028.0   5.1   8.3   0.5 99.0 99.00
2005 01 09 11 00   1  8.0  9.4  1.21  5.00  3.99 999 1028.8   5.0   8.2   0.9 99.0 99.00
2005 01 09 12 00  21  4.7  5.9  1.07  4.55  3.94 999 1029.2   5.0   8.1   0.5 99.0 99.00
2005 01 09 13 00  16  5.8  7.0  1.00  4.35  3.94 999 1029.5   5.1   8.1   1.7 99.0 99.00
2005 01 09 14 00  28  6.9  8.6  0.94  5.26  3.74 999 1029.8   5.3   8.0   2.0 99.0 99.00
2005 01 09 15 00  27  7.0  8.5  1.02  4.35  3.75 999 1030.3   5.4   8.0   2.1 99.0 99.00
2005 01 09 16 00  32  6.6  7.9  0.98  4.76  3.79 999 1030.3   5.3   8.0   1.9 99.0 99.00
2005 01 09 17 00  21  5.3  6.2  0.93  5.26  3.81 999 1029.8   5.3   7.8   1.8 99.0 99.00
