YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 10 00 297 12.4 16.3  1.73  5.00  4.62 999 1013.4  -0.5   4.4  -7.1 99.0 99.00
2001 01 10 01 299 12.4 15.6  1.73  5.26  4.57 999 1013.7  -0.5   4.5  -7.5 99.0 99.00
2001 01 10 02 289 11.5 13.7  1.73  5.26  4.49 999 1013.9  -0.7   4.5  -7.4 99.0 99.00
2001 01 10 03 283 11.0 13.8  1.52  5.00  4.27 999 1013.5  -0.7   4.5  -7.3 99.0 99.00
2001 01 10 04 281 12.1 14.8  1.48  4.55  4.11 999 1013.2  -0.7   4.4  -7.1 99.0 99.00
2001 01 10 05 275 11.7 14.8  1.46  4.76  3.99 999 1012.9  -0.5   4.3  -6.6 99.0 99.00
2001 01 10 06 278 13.1 15.6  1.64  4.55  4.12 999 1012.4  -0.6   4.3  -7.3 99.0 99.00
2001 01 10 07 283 12.3 14.8  1.66  4.35  4.17 999 1012.8  -0.2   4.3  -6.6 99.0 99.00
2001 01 10 08 286 10.7 13.8  1.65  4.55  4.17 999 1013.1  -0.1   4.4  -6.7 99.0 99.00
2001 01 10 09 294 10.7 12.7  1.25  4.55  4.05 999 1013.3   0.2   4.4  -6.6 99.0 99.00
2001 01 10 10 282 10.2 12.0  1.22  4.55  4.00 999 1014.2   0.3   4.6  -6.9 99.0 99.00
2001 01 10 11 291 11.7 14.5  1.23  4.55  4.04 999 1015.2   0.6   4.8  -7.0 99.0 99.00
2001 01 10 12 287 12.0 15.9  1.23  4.00  3.96 999 1015.7   0.8   4.9  -6.2 99.0 99.00
2001 01 10 13 287 12.1 14.5  1.45  4.35  4.08 999 1017.0   1.0   5.0  -5.5 99.0 99.00
2001 01 10 14 302 11.8 13.7  1.48  4.76  4.10 999 1018.2   1.3   5.1  -5.1 99.0 99.00
